ID,Duration,Start date,Start Station,Start terminal,End date,End Station,End terminal,Bike#,Zip Code,Subscription Type
204692,0h 10m 8s,8/10/2011 14:36,Front/Yonge (Hockey Hall of Fame),7048,8/10/2011 14:46,Lower Simcoe St / Lakeshore Blvd W,7043,C00113,,Casual
205043,0h 42m 23s,8/10/2011 16:49,Lower Simcoe St / Lakeshore Blvd W,7043,8/10/2011 17:31,Lower Simcoe St / Lakeshore Blvd W,7043,C00113,,Casual
205390,0h 0m 13s,8/10/2011 18:06,Lower Simcoe St / Lakeshore Blvd W,7043,8/10/2011 18:06,Lower Simcoe St / Lakeshore Blvd W,7043,C00113,M5J 2X1,Casual
206170,0h 53m 54s,8/11/2011 5:32,Lower Simcoe St / Lakeshore Blvd W,7043,8/11/2011 6:26,Lower Simcoe St / Lakeshore Blvd W,7043,C00113,,Casual
206328,0h 16m 0s,8/11/2011 8:13,Lower Simcoe St / Lakeshore Blvd W,7043,8/11/2011 8:29,University Ave / Elm St,7004,C00113,M5A 0E3,Casual
206953,0h 10m 6s,8/11/2011 12:44,University Ave / Elm St,7004,8/11/2011 12:54,Bay St / St Joseph St,7026,C00113,M5T 1K5,Casual
207041,0h 5m 22s,8/11/2011 13:17,Bay St / St Joseph St,7026,8/11/2011 13:22,University Ave / Gerrard St W,7047,C00113,,Casual
207464,0h 5m 22s,8/11/2011 16:19,University Ave / Gerrard St W,7047,8/11/2011 16:24,College St / Major St,7078,C00113,M5T 2Y9,Casual
207511,0h 7m 27s,8/11/2011 16:30,College St / Major St,7078,8/11/2011 16:37,Elizabeth St / Edward St,7012,C00113,M5T 2Y9,Casual
207577,0h 2m 25s,8/11/2011 16:49,Elizabeth St / Edward St,7012,8/11/2011 16:52,University Ave / Elm St,7004,C00113,M5T 2Y9,Casual
207684,0h 12m 24s,8/11/2011 17:12,University Ave / Elm St,7004,8/11/2011 17:24,Metro Hall Plaza,7053,C00113,M5V3X6,Casual
207942,0h 6m 45s,8/11/2011 18:09,Metro Hall Plaza,7053,8/11/2011 18:16,Bremner / Spadina,7073,C00113,M5V3V9,Casual
208302,0h 4m 58s,8/11/2011 20:00,Bremner / Spadina,7073,8/11/2011 20:05,Metro Hall Plaza,7053,C00113,M5C3E1,Subscriber
210362,0h 15m 33s,8/12/2011 17:05,Queens Park Cres E,7008,8/12/2011 17:21,Simcoe St / Dundas St W,7039,C00113,,Casual
210519,0h 14m 4s,8/12/2011 17:41,Simcoe St / Dundas St W,7039,8/12/2011 17:55,Church St / Bloor St E,7034,C00113,M4Y3C7,Subscriber
210707,0h 8m 48s,8/12/2011 18:31,Church St / Bloor St E,7034,8/12/2011 18:40,Jarvis St / Carleton St,7055,C00113,M4Y3C7,Subscriber
211720,0h 14m 32s,8/13/2011 10:35,Jarvis St / Carleton St,7055,8/13/2011 10:50,Dundas St / Parliament St,7065,C00113,M5A4B6,Casual
