ID,Duration,Start date,Start Station,Start terminal,End date,End Station,End terminal,Bike#,Zip Code,Subscription Type
1228942,0h 15m 58s,2/15/2013 10:43,Demo Toronto 1,Demo Toronto 1,2/15/2013 10:59,Demo Toronto 1,Demo Toronto 1,a333,H8T3J1,Subscriber
1228954,0h 17m 21s,2/15/2013 11:09,Demo Toronto 1,Demo Toronto 1,2/15/2013 11:27,Demo Toronto 1,Demo Toronto 1,a333,H8T3J1,Subscriber
1228967,0h 0m 11s,2/15/2013 11:29,Demo Toronto 1,Demo Toronto 1,2/15/2013 11:29,Demo Toronto 1,Demo Toronto 1,a333,H8T3J1,Subscriber
1228969,0h 0m 2s,2/15/2013 11:30,Demo Toronto 1,Demo Toronto 1,2/15/2013 11:30,Demo Toronto 1,Demo Toronto 1,a333,H8T3J1,Subscriber
1229049,0h 19m 21s,2/15/2013 12:53,Demo Toronto 1,Demo Toronto 1,2/15/2013 13:12,Demo Toronto 1,Demo Toronto 1,a333,H8T3J1,Subscriber
1229140,0h 0m 57s,2/15/2013 13:50,Demo Toronto 1,Demo Toronto 1,2/15/2013 13:51,X-Demo Toronto 2,X - Demo Toronto 2,a333,H8T3J1,Subscriber
1229121,0h 3m 10s,2/15/2013 14:03,X-Demo Toronto 2,X - Demo Toronto 2,2/15/2013 14:06,X-Demo Toronto 2,X - Demo Toronto 2,a333,H8T3J1,Subscriber
1229142,0h 2m 32s,2/15/2013 14:13,Demo Toronto 1,Demo Toronto 1,2/15/2013 14:16,X-Demo Toronto 2,X - Demo Toronto 2,a333,H8T3J1,Subscriber
1229132,0h 0m 33s,2/15/2013 14:18,X-Demo Toronto 2,X - Demo Toronto 2,2/15/2013 14:18,X-Demo Toronto 2,X - Demo Toronto 2,a333,H8T3J1,Subscriber
1230222,0h 0m 3s,2/18/2013 8:53,X-Demo Toronto 2,X - Demo Toronto 2,2/18/2013 8:54,X-Demo Toronto 2,X - Demo Toronto 2,a333,H8T3J1,Subscriber
1230246,0h 35m 29s,2/18/2013 8:58,X-Demo Toronto 2,X - Demo Toronto 2,2/18/2013 9:33,X-Demo Toronto 2,X - Demo Toronto 2,a333,H8T3J1,Subscriber
1230254,0h 0m 8s,2/18/2013 9:59,X-Demo Toronto 2,X - Demo Toronto 2,2/18/2013 10:00,X-Demo Toronto 2,X - Demo Toronto 2,a333,H8T3J1,Subscriber
1230273,0h 26m 39s,2/18/2013 10:41,Demo Toronto 1,Demo Toronto 1,2/18/2013 11:07,Demo Toronto 1,Demo Toronto 1,a333,H8T3J1,Subscriber
1230344,0h 0m 4s,2/18/2013 13:57,Demo Toronto 1,Demo Toronto 1,2/18/2013 13:58,Demo Toronto 1,Demo Toronto 1,a333,H8T3J1,Subscriber
1230719,0h 0m 30s,2/19/2013 10:46,Demo Toronto 1,Demo Toronto 1,2/19/2013 10:47,Demo Toronto 1,Demo Toronto 1,a333,H8T3J1,Subscriber
1230728,0h 0m 9s,2/19/2013 11:01,Demo Toronto 1,Demo Toronto 1,2/19/2013 11:02,Demo Toronto 1,Demo Toronto 1,a333,H8T3J1,Subscriber
1230735,0h 0m 5s,2/19/2013 11:08,Demo Toronto 1,Demo Toronto 1,2/19/2013 11:08,Demo Toronto 1,Demo Toronto 1,a333,H8T3J1,Subscriber
1230737,0h 0m 8s,2/19/2013 11:09,Demo Toronto 1,Demo Toronto 1,2/19/2013 11:09,Demo Toronto 1,Demo Toronto 1,a333,H8T3J1,Subscriber
1230812,0h 0m 4s,2/19/2013 13:09,Demo Toronto 1,Demo Toronto 1,2/19/2013 13:09,Demo Toronto 1,Demo Toronto 1,a333,H8T3J1,Subscriber
1230823,0h 0m 4s,2/19/2013 13:17,Demo Toronto 1,Demo Toronto 1,2/19/2013 13:17,Demo Toronto 1,Demo Toronto 1,a333,H8T3J1,Subscriber
1230824,0h 0m 3s,2/19/2013 13:18,Demo Toronto 1,Demo Toronto 1,2/19/2013 13:18,Demo Toronto 1,Demo Toronto 1,a333,H8T3J1,Subscriber
1230840,0h 0m 0s,2/19/2013 13:32,Demo Toronto 1,Demo Toronto 1,2/19/2013 13:32,Demo Toronto 1,Demo Toronto 1,a333,H8T3J1,Subscriber
1230842,0h 0m 5s,2/19/2013 13:33,Demo Toronto 1,Demo Toronto 1,2/19/2013 13:33,Demo Toronto 1,Demo Toronto 1,a333,H8T3J1,Subscriber
1230843,0h 0m 4s,2/19/2013 13:34,Demo Toronto 1,Demo Toronto 1,2/19/2013 13:34,Demo Toronto 1,Demo Toronto 1,a333,H8T3J1,Subscriber
1230845,0h 0m 3s,2/19/2013 13:36,Demo Toronto 1,Demo Toronto 1,2/19/2013 13:36,Demo Toronto 1,Demo Toronto 1,a333,H8T3J1,Subscriber
1230907,0h 0m 15s,2/19/2013 15:05,Demo Toronto 1,Demo Toronto 1,2/19/2013 15:06,Demo Toronto 1,Demo Toronto 1,a333,H8T3J1,Subscriber
1230924,0h 0m 11s,2/19/2013 15:33,Demo Toronto 1,Demo Toronto 1,2/19/2013 15:33,Demo Toronto 1,Demo Toronto 1,a333,H8T3J1,Subscriber
1230926,0h 0m 10s,2/19/2013 15:34,Demo Toronto 1,Demo Toronto 1,2/19/2013 15:34,Demo Toronto 1,Demo Toronto 1,a333,H8T3J1,Subscriber
1231607,0h 0m 13s,2/20/2013 10:19,Demo Toronto 1,Demo Toronto 1,2/20/2013 10:19,Demo Toronto 1,Demo Toronto 1,a333,H8T3J1,Subscriber
1231612,0h 0m 14s,2/20/2013 10:29,Demo Toronto 1,Demo Toronto 1,2/20/2013 10:29,Demo Toronto 1,Demo Toronto 1,a333,H8T3J1,Subscriber
1231618,0h 0m 22s,2/20/2013 10:45,Demo Toronto 1,Demo Toronto 1,2/20/2013 10:46,Demo Toronto 1,Demo Toronto 1,a333,H8T3J1,Subscriber
1231621,0h 0m 14s,2/20/2013 10:53,Demo Toronto 1,Demo Toronto 1,2/20/2013 10:54,Demo Toronto 1,Demo Toronto 1,a333,H8T3J1,Subscriber
1232515,0h 0m 35s,2/21/2013 11:29,Demo Toronto 1,Demo Toronto 1,2/21/2013 11:30,Demo Toronto 1,Demo Toronto 1,a333,H8T3J1,Subscriber
1235105,0h 46m 21s,2/25/2013 9:10,Demo Toronto 1,Demo Toronto 1,2/25/2013 9:57,Demo Toronto 1,Demo Toronto 1,a333,H8T3J1,Subscriber
