ID,Duration,Start date,Start Station,Start terminal,End date,End Station,End terminal,Bike#,Zip Code,Subscription Type
1047704,0h 13m 52s,10/1/2012 10:29,Queen St / Ossington Ave,7035,10/1/2012 10:43,Gerrard St E / Church St,7079,t09991,ON,Subscriber
1047872,0h 25m 44s,10/1/2012 11:59,Gerrard St E / Church St,7079,10/1/2012 12:25,St George St / Bloor St W,7002,t09991,M8V3W9,Subscriber
1048016,0h 8m 46s,10/1/2012 12:56,St George St / Bloor St W,7002,10/1/2012 13:05,Church St / Monteith St ,7058,t09991,ON,Subscriber
1048310,0h 5m 34s,10/1/2012 14:53,Church St / Monteith St ,7058,10/1/2012 14:59,Sherbourne St / Wellesley St,7042,t09991,M4X 1X8,Subscriber
1048414,0h 15m 39s,10/1/2012 15:40,Sherbourne St / Wellesley St,7042,10/1/2012 15:56,25 York St,7070,t09991,M4X 1G6,Subscriber
1048479,0h 6m 56s,10/1/2012 16:00,25 York St,7070,10/1/2012 16:07,Bremner / Spadina,7073,t09991,M5V3Z1,Subscriber
1048530,0h 13m 10s,10/1/2012 16:14,Bremner / Spadina,7073,10/1/2012 16:27,Bathurst / Queens Quay (Island Airport),7071,t09991,,Casual
1048728,0h 19m 35s,10/1/2012 17:02,Bathurst / Queens Quay (Island Airport),7071,10/1/2012 17:21,Dockside Dr / Queens Quay E.,7068,t09991,,Casual
1048895,0h 9m 43s,10/1/2012 17:27,Dockside Dr / Queens Quay E.,7068,10/1/2012 17:37,Melinda St / Yonge St,7036,t09991,,Casual
1049060,0h 12m 32s,10/1/2012 17:52,Melinda St / Yonge St,7036,10/1/2012 18:04,Wellesley St E. / Yonge St,7051,t09991,M4Y0A2,Subscriber
1049243,0h 8m 32s,10/1/2012 18:28,Wellesley St E. / Yonge St,7051,10/1/2012 18:37,Spadina Ave / Sussex Ave,7074,t09991,M5T2J8,Subscriber
1049667,0h 14m 1s,10/1/2012 21:21,Spadina Ave / Sussex Ave,7074,10/1/2012 21:35,Dundas / Yonge St.,7038,t09991,M4X1P8,Subscriber
1049708,0h 4m 37s,10/1/2012 21:38,Dundas / Yonge St.,7038,10/1/2012 21:43,Bay St / College St,7006,t09991,M5G 2R3,Subscriber
1049863,0h 6m 34s,10/1/2012 23:35,Bay St / College St,7006,10/1/2012 23:42,Richmond St E / Jarvis St,7050,t09991,M5G 2R2,Subscriber
1050034,0h 2m 35s,10/2/2012 7:26,Richmond St E / Jarvis St,7050,10/2/2012 7:28,Melinda St / Yonge St,7036,t09991,ON,Subscriber
1051566,0h 10m 35s,10/2/2012 16:08,Melinda St / Yonge St,7036,10/2/2012 16:18,Queens Quay W / Dan Leckie Way,7075,t09991,M4Y1B6,Subscriber
1051857,0h 6m 56s,10/2/2012 17:12,Queens Quay W / Dan Leckie Way,7075,10/2/2012 17:19,Simcoe St / Wellington St W,7057,t09991,L6G 0C8,Subscriber
1052212,0h 14m 39s,10/2/2012 18:05,Simcoe St / Wellington St W,7057,10/2/2012 18:20,Granby St / Yonge St,7077,t09991,L4S1T4,Subscriber
1052837,0h 10m 26s,10/2/2012 21:03,Granby St / Yonge St,7077,10/2/2012 21:13,Scott St / The Esplanade,7013,t09991,M6G2P5,Subscriber
1053215,0h 4m 11s,10/3/2012 7:20,Scott St / The Esplanade,7013,10/3/2012 7:24,Ferry Ramp / Queens Quay W,7016,t09991,M4K 1C9,Subscriber
1053396,0h 8m 49s,10/3/2012 8:10,Ferry Ramp / Queens Quay W,7016,10/3/2012 8:19,Simcoe St / Queen St W,7022,t09991,M5J2R9,Subscriber
1053456,0h 2m 50s,10/3/2012 8:23,Simcoe St / Queen St W,7022,10/3/2012 8:26,Temperance St / Yonge St,7019,t09991,M5T2W9,Subscriber
1053934,0h 3m 10s,10/3/2012 9:57,Temperance St / Yonge St,7019,10/3/2012 10:00,Simcoe St / Queen St W,7022,t09991,M5T2W9,Subscriber
1053949,0h 12m 9s,10/3/2012 10:04,Simcoe St / Queen St W,7022,10/3/2012 10:16,Front St W / Blue Jays Way,7059,t09991,,Casual
1053994,0h 7m 23s,10/3/2012 10:28,Front St W / Blue Jays Way,7059,10/3/2012 10:35,King St W / Bay St,7015,t09991,L8M1R2,Subscriber
1054249,0h 4m 5s,10/3/2012 13:03,King St W / Bay St,7015,10/3/2012 13:07,Simcoe St / Wellington St W,7057,t09991,M5V3R7,Subscriber
1054463,0h 7m 11s,10/3/2012 15:27,Simcoe St / Wellington St W,7057,10/3/2012 15:34,25 York St,7070,t09991,M5J 2L1,Subscriber
1054583,0h 6m 39s,10/3/2012 16:13,25 York St,7070,10/3/2012 16:20,Bremner / Spadina,7073,t09991,M5V3Z1,Subscriber
1055517,0h 7m 3s,10/3/2012 20:26,Bremner / Spadina,7073,10/3/2012 20:33,Queen St W / Spadina Ave,7069,t09991,M5V3Y9,Subscriber
1055538,0h 40m 52s,10/3/2012 20:39,Queen St W / Spadina Ave,7069,10/3/2012 21:20,King St W / Bay St,7015,t09991,,Casual
1055662,0h 9m 36s,10/3/2012 21:39,King St W / Bay St,7015,10/3/2012 21:49,Queen St / Portland St,7049,t09991,M5V 1Y5,Subscriber
1056215,0h 19m 16s,10/4/2012 8:14,Queen St / Portland St,7049,10/4/2012 8:34,Navy Wharf Ct. / Bremner Blvd.,7054,t09991,M6J3W7,Subscriber
1056390,0h 16m 58s,10/4/2012 8:41,Navy Wharf Ct. / Bremner Blvd.,7054,10/4/2012 8:58,Widmer St / Adelaide St ,7017,t09991,M4Y1R9,Subscriber
1057179,0h 4m 56s,10/4/2012 13:15,Widmer St / Adelaide St ,7017,10/4/2012 13:20,Temperance St / Yonge St,7019,t09991,,Casual
1057774,0h 9m 5s,10/4/2012 16:59,Temperance St / Yonge St,7019,10/4/2012 17:08,Bremner / Spadina,7073,t09991,M5V3Y3,Subscriber
1058169,0h 12m 42s,10/4/2012 18:03,Bremner / Spadina,7073,10/4/2012 18:16,St George St / Bloor St W,7002,t09991,M4W3Y3,Subscriber
1058425,0h 15m 2s,10/4/2012 19:02,St George St / Bloor St W,7002,10/4/2012 19:17,Bremner / Spadina,7073,t09991,,Casual
1058662,0h 4m 32s,10/4/2012 20:26,Bremner / Spadina,7073,10/4/2012 20:30,Widmer St / Adelaide St ,7017,t09991,M5V3Y6,Subscriber
1058741,0h 12m 5s,10/4/2012 21:02,Widmer St / Adelaide St ,7017,10/4/2012 21:14,Gould St / Mutual St,7028,t09991,M5B2P7,Subscriber
1059179,0h 5m 24s,10/5/2012 7:44,Gould St / Mutual St,7028,10/5/2012 7:50,Bay St / Albert St,7021,t09991,M5B2L2,Subscriber
1060228,0h 18m 56s,10/5/2012 13:23,Bay St / Albert St,7021,10/5/2012 13:42,Bathurst / Queens Quay (Island Airport),7071,t09991,M5V3J6,Subscriber
1060606,0h 21m 18s,10/5/2012 15:50,Bathurst / Queens Quay (Island Airport),7071,10/5/2012 16:12,Huron St / Harbord St ,7024,t09991,M5G 0A6,Subscriber
