ID,Duration,Start date,Start Station,Start terminal,End date,End Station,End terminal,Bike#,Zip Code,Subscription Type
52,0h 12m 8s,5/3/2011 18:17,University Ave / College St,7062,5/3/2011 18:30,,,T01431,L6H 4C4,Casual
627,0h 17m 42s,5/4/2011 20:12,Church St / Alexander St,7044,5/4/2011 20:30,,,T01839,M5S 2L5,Casual
11231,0h 1m 55s,5/14/2011 14:13,Granby St / Yonge St,7077,5/14/2011 14:15,,,T01329,,Casual
13424,0h 20m 26s,5/18/2011 18:39,Simcoe St / Dundas St W,7039,5/18/2011 19:00,,,T01638,M4Y 1G3,Casual
44263,1h 11m 31s,6/4/2011 21:52,Bay St / College St,7006,6/4/2011 23:04,,,T01763,ON,Casual
164563,0h 20m 4s,7/23/2011 12:52,Dundas / Yonge St.,7038,7/23/2011 13:13,,,T01227,,Casual
164564,0h 20m 53s,7/23/2011 12:53,Dundas / Yonge St.,7038,7/23/2011 13:14,,,T02036,,Casual
171745,0h 8m 55s,7/26/2011 13:22,Bay St / College St,7006,7/26/2011 13:31,,,? (0x21270000),M4R 1J5,Casual
200512,0h 21m 54s,8/8/2011 14:17,York St / Queens Quay W,7076,8/8/2011 14:39,,,T01510,,Casual
1907519,0h 2m 55s,4/1/2014 7:56,Wellington St W / Bay St,7052,4/1/2014 7:59,,,T01339,L7L5J6,Registered
1907597,0h 6m 2s,4/1/2014 8:26,Front/Yonge (Hockey Hall of Fame),7048,4/1/2014 8:33,,,T01910,L7P4Y4,Registered
1907728,0h 4m 24s,4/1/2014 8:55,Bay St / St Joseph St,7026,4/1/2014 9:00,,,T01793,M5S3A6,Registered
1907769,0h 10m 58s,4/1/2014 9:08,Bay St / College St,7006,4/1/2014 9:19,,,T01176,M5G1P7,Registered
1908292,0h 16m 58s,4/1/2014 16:53,Jarvis St / Carleton St,7055,4/1/2014 17:10,,,T01558,M5B 1J1,Registered
1908299,0h 15m 53s,4/1/2014 16:59,Temperance St / Yonge St,7019,4/1/2014 17:15,,,T01706,M4Y 1N9,Registered
1908309,0h 9m 25s,4/1/2014 17:03,University Ave / College St,7062,4/1/2014 17:13,,,T01281,M4Y1W3,Registered
