ID,Duration,Start date,Start Station,Start terminal,End date,End Station,End terminal,Bike#,Zip Code,Subscription Type
1206917,0h 0m 0s,1/16/2013 14:28,Demo Toronto 1,Demo Toronto 1,1/16/2013 14:28,Demo Toronto 1,Demo Toronto 1,a222,H8T3J1,Subscriber
1206916,0h 0m 4s,1/16/2013 14:28,Demo Toronto 1,Demo Toronto 1,1/16/2013 14:28,Demo Toronto 1,Demo Toronto 1,a444,H8T3J1,Subscriber
1206915,0h 0m 0s,1/16/2013 14:28,Demo Toronto 1,Demo Toronto 1,1/16/2013 14:28,Demo Toronto 1,Demo Toronto 1,a666,H8T3J1,Subscriber
1206914,0h 0m 0s,1/16/2013 14:28,Demo Toronto 1,Demo Toronto 1,1/16/2013 14:28,Demo Toronto 1,Demo Toronto 1,a222,H8T3J1,Subscriber
1206920,0h 0m 4s,1/16/2013 14:29,Demo Toronto 1,Demo Toronto 1,1/16/2013 14:29,Demo Toronto 1,Demo Toronto 1,a444,H8T3J1,Subscriber
1206918,0h 0m 0s,1/16/2013 14:29,Demo Toronto 1,Demo Toronto 1,1/16/2013 14:29,Demo Toronto 1,Demo Toronto 1,a666,H8T3J1,Subscriber
1206927,0h 0m 0s,1/16/2013 14:38,Demo Toronto 1,Demo Toronto 1,1/16/2013 14:38,Demo Toronto 1,Demo Toronto 1,a777,H8T3J1,Subscriber
1206949,0h 0m 3s,1/16/2013 15:04,Demo Toronto 1,Demo Toronto 1,1/16/2013 15:04,Demo Toronto 1,Demo Toronto 1,a222,H8T3J1,Subscriber
1206948,0h 0m 2s,1/16/2013 15:04,Demo Toronto 1,Demo Toronto 1,1/16/2013 15:04,Demo Toronto 1,Demo Toronto 1,a666,H8T3J1,Subscriber
1206950,0h 0m 7s,1/16/2013 15:05,Demo Toronto 1,Demo Toronto 1,1/16/2013 15:05,Demo Toronto 1,Demo Toronto 1,a777,H8T3J1,Subscriber
1206955,0h 0m 16s,1/16/2013 15:06,Demo Toronto 1,Demo Toronto 1,1/16/2013 15:06,Demo Toronto 1,Demo Toronto 1,a444,H8T3J1,Subscriber
1207041,17h 38m 24s,1/16/2013 16:09,Demo Toronto 1,Demo Toronto 1,1/17/2013 9:47,Demo Toronto 1,Demo Toronto 1,a444,H8T3J1,Subscriber
1208210,0h 0m 4s,1/17/2013 10:23,Demo Toronto 1,Demo Toronto 1,1/17/2013 10:23,Demo Toronto 1,Demo Toronto 1,a777,H8T3J1,Subscriber
1208212,0h 0m 13s,1/17/2013 10:24,Demo Toronto 1,Demo Toronto 1,1/17/2013 10:24,Demo Toronto 1,Demo Toronto 1,a222,H8T3J1,Subscriber
1208211,0h 0m 11s,1/17/2013 10:24,Demo Toronto 1,Demo Toronto 1,1/17/2013 10:24,Demo Toronto 1,Demo Toronto 1,a777,H8T3J1,Subscriber
1208215,0h 0m 7s,1/17/2013 10:25,Demo Toronto 1,Demo Toronto 1,1/17/2013 10:25,Demo Toronto 1,Demo Toronto 1,a444,H8T3J1,Subscriber
1208214,0h 0m 10s,1/17/2013 10:25,Demo Toronto 1,Demo Toronto 1,1/17/2013 10:25,Demo Toronto 1,Demo Toronto 1,a666,H8T3J1,Subscriber
1208217,0h 0m 9s,1/17/2013 10:26,Demo Toronto 1,Demo Toronto 1,1/17/2013 10:26,Demo Toronto 1,Demo Toronto 1,a666,H8T3J1,Subscriber
1208216,0h 0m 6s,1/17/2013 10:26,Demo Toronto 1,Demo Toronto 1,1/17/2013 10:26,Demo Toronto 1,Demo Toronto 1,a555,H8T3J1,Subscriber
1208220,0h 0m 6s,1/17/2013 10:27,Demo Toronto 1,Demo Toronto 1,1/17/2013 10:27,Demo Toronto 1,Demo Toronto 1,a777,H8T3J1,Subscriber
1208219,0h 0m 4s,1/17/2013 10:27,Demo Toronto 1,Demo Toronto 1,1/17/2013 10:27,Demo Toronto 1,Demo Toronto 1,a777,H8T3J1,Subscriber
1208218,0h 0m 0s,1/17/2013 10:27,Demo Toronto 1,Demo Toronto 1,1/17/2013 10:27,Demo Toronto 1,Demo Toronto 1,a666,H8T3J1,Subscriber
1208222,0h 0m 34s,1/17/2013 10:28,Demo Toronto 1,Demo Toronto 1,1/17/2013 10:29,Demo Toronto 1,Demo Toronto 1,a666,H8T3J1,Subscriber
1208221,0h 0m 9s,1/17/2013 10:28,Demo Toronto 1,Demo Toronto 1,1/17/2013 10:28,Demo Toronto 1,Demo Toronto 1,a666,H8T3J1,Subscriber
